date,r2
2018-04-03,0.1337669246409372
2018-04-09,0.17398205921785703
2018-04-10,0.24810814752992172
2018-04-11,0.08042786652341327
2018-04-12,0.11549530798574525
2018-04-13,0.08521985199495052
2018-04-16,0.14474156321772969
2018-04-17,0.1946120452340987
2018-04-18,0.20417995453255977
2018-04-19,0.24946563302458946
2018-04-20,0.22776997468973859
2018-04-23,0.16310845037879285
2018-04-24,0.2431740637117502
2018-04-25,-0.060547074532763645
2018-04-26,0.0770486483658368
2018-04-27,0.20351434676768954
2018-04-30,0.20638968381579204
2018-05-02,0.24906610757635994
2018-05-03,0.23578793681252197
2018-05-04,0.2256528889799021
2018-05-07,0.32085771423134346
2018-05-08,0.1329202495004097
2018-05-09,0.15363293461421879
2018-05-10,0.1642505803411064
2018-05-11,0.07375850521511107
2018-05-14,0.14026089094014427
2018-05-15,0.29852188820923
2018-05-16,0.19935103671011878
2018-05-17,0.3158245185693134
2018-05-18,0.2375501104158958
2018-05-21,0.17843065846863948
2018-05-22,0.15937170987838256
2018-05-23,0.22526455685833413
2018-05-24,0.2233421285237106
2018-05-25,0.23273508810992116
2018-05-28,0.1975091891795634
2018-05-29,0.23107062647164278
2018-05-30,0.2348357429814596
2018-05-31,0.28920583798541066
2018-06-01,0.21555179024919735
2018-06-04,0.06603772204181535
2018-06-05,0.09495242932255687
2018-06-06,0.22070057848612834
2018-06-07,0.29904599834562473
2018-06-08,0.1553294506941828
2018-06-11,0.2314204231265623
2018-06-12,0.18458566623709993
2018-06-13,0.15790797062940587
2018-06-14,0.19330719049642386
2018-06-15,0.28265074290500436
2018-06-19,-0.6254782564758752
2018-06-20,0.16893781052238843
2018-06-21,0.28720080250865676
2018-06-22,0.22102587331773071
2018-06-25,0.3259589669816372
2018-06-26,0.27064197371271526
2018-06-27,0.23884522996819413
2018-06-28,0.1031564961940169
2018-06-29,0.13594154563039107
2018-07-02,0.20916710438504704
2018-07-03,0.27088707107064414
2018-07-04,0.3007639613632196
2018-07-05,0.17172083150312611
2018-07-06,0.23386850888054267
2018-07-09,0.1862986197769766
2018-07-10,0.1513506294114204
2018-07-11,0.16457372567096507
2018-07-12,0.22920780986227773
2018-07-13,0.17262785921796298
2018-07-16,0.014620493193799433
2018-07-17,0.2127433702264362
2018-07-18,0.2452164932150951
2018-07-19,0.1570582982551857
2018-07-20,0.11291981966466857
2018-07-23,0.1444158680208938
2018-07-24,0.12008468946517437
2018-07-25,0.21223026670634937
2018-07-26,0.06778039580418416
2018-07-27,0.26921042359470926
2018-07-30,0.044727978710012106
2018-07-31,0.26074029724071346
2018-08-01,0.2397626718616762
2018-08-02,0.240703540331345
2018-08-03,0.21398624357646945
2018-08-06,0.21331769456339622
2018-08-07,0.19963973897390386
