,training_start_date,testing_date,label,gbrt_oosR2,linear_oosR2,plsr_oosR2,lasso_oosR2,nn_oosR2
0,2018-01-22,2018-10-11,Y_M_1,0.2722448685587905,0.19402688695090442,0.17777128675396925,0.1797679106152016,0.10815406746846956
1,2018-01-22,2018-10-11,Y_M_2,0.23004768754297777,0.11069854794364564,0.0947511064168347,0.09815778232890426,0.13073611827874054
2,2018-01-22,2018-10-11,Y_M_3,0.11101423485949112,0.06258413750763003,0.04617930322453945,0.047900336344041894,-0.07741620554271544
3,2018-01-22,2018-10-11,Y_M_4,0.06261402887489398,0.03146208429435027,0.01407945373524544,0.01916311244344493,-0.09463184653097945
4,2018-01-22,2018-10-11,Y_M_5,0.04636804216401913,0.002844673424054145,-0.016642467460073584,-0.008655937893950805,-0.004039018767657554
5,2018-01-22,2018-10-12,Y_M_1,0.18925523903014319,0.16866167098483364,0.16437789681594506,0.1686133214958211,0.07888257363815998
6,2018-01-22,2018-10-12,Y_M_2,0.15404815195601118,0.1381563103624156,0.14013231667539094,0.14147195764433584,0.10941086251811226
7,2018-01-22,2018-10-12,Y_M_3,0.048592173278332096,0.056745768638715055,0.06423254556121072,0.06368592188353639,0.020222887138353407
8,2018-01-22,2018-10-12,Y_M_4,-0.013497562020558407,0.00026596451852600733,0.011912468011334942,0.007645579294848992,-0.034630756281329944
9,2018-01-22,2018-10-12,Y_M_5,-0.05805889442474599,-0.03453840939616337,-0.02362324252858161,-0.02752879963618149,-0.019313473469114495
10,2018-01-22,2018-10-15,Y_M_1,0.1793443488475417,0.18417454629164823,0.15788803038494004,0.17502609244693024,0.08656396328310823
11,2018-01-22,2018-10-15,Y_M_2,0.026529257381035287,0.04793024558255887,0.02716567425908489,0.044522250431551,0.09165874268186225
12,2018-01-22,2018-10-15,Y_M_3,-0.011214423617568192,-0.007542697234239171,-0.014758707814864547,-0.008391630634133396,-0.07268411493205118
13,2018-01-22,2018-10-15,Y_M_4,0.01217591385507355,-0.02145205187325505,-0.023965264367068473,-0.023411088755890486,-0.22776330748921425
14,2018-01-22,2018-10-15,Y_M_5,0.03637951675076179,-0.03980531800081355,-0.04572329985247103,-0.04256307094652789,-0.05291091435118256
15,2018-01-22,2018-10-16,Y_M_1,0.2713140684348392,0.17637473742261778,0.16923319998144196,0.17996276448037474,0.13970222734338267
16,2018-01-22,2018-10-16,Y_M_2,0.2398817225987192,0.17750422440004188,0.1790765863373408,0.18192098808352597,0.16920206478007993
17,2018-01-22,2018-10-16,Y_M_3,0.15277828554639172,0.115008536738053,0.12174988784224494,0.12081087980136929,0.08224967902671865
18,2018-01-22,2018-10-16,Y_M_4,0.09306371045894213,0.0739009107511438,0.07743024444994717,0.07775683859631122,0.034412144656255084
19,2018-01-22,2018-10-16,Y_M_5,0.04209331239575287,0.028637412935387907,0.03193407942030013,0.03392859830964323,0.05026013201911772
20,2018-01-22,2018-10-17,Y_M_1,0.21102162748898434,0.16934511680007258,0.15104520019210899,0.1617874946479455,0.09700399326770415
21,2018-01-22,2018-10-17,Y_M_2,0.1558542560149474,0.15288049408102222,0.1414935164928458,0.14655869026937418,0.13717988629061506
22,2018-01-22,2018-10-17,Y_M_3,0.10517792129344827,0.12566915732165107,0.12360807548258046,0.1209979732588824,0.12377572682352533
23,2018-01-22,2018-10-17,Y_M_4,0.041791600402986684,0.08304250338390651,0.0806986716659368,0.07996835382225986,0.007348462384418886
24,2018-01-22,2018-10-17,Y_M_5,0.012015500865108608,0.046800620730599096,0.04276255753242475,0.042703791512353595,0.03705232741802322
25,2018-01-22,2018-10-18,Y_M_1,0.2594050247940253,0.16682836468840434,0.18093618125804603,0.1744061021021167,0.05885744566680806
26,2018-01-22,2018-10-18,Y_M_2,0.1775143022777287,0.1468200576813531,0.1499316621607799,0.15186881858499512,0.14611677331392925
27,2018-01-22,2018-10-18,Y_M_3,0.14137471424047798,0.1298235146381419,0.1321261310520011,0.13295839030164425,0.1082707157750149
28,2018-01-22,2018-10-18,Y_M_4,0.13347339097879796,0.12459722756871826,0.1281938727123828,0.12542824803293096,0.028297593895408094
29,2018-01-22,2018-10-18,Y_M_5,0.1192261542475328,0.10735954354704069,0.11042698471870438,0.10785279595654762,0.10582498090345971
30,2018-01-22,2018-10-19,Y_M_1,0.22851179766627228,0.12189876241600439,0.13479833739725722,0.12514158595054659,0.10391031039938202
31,2018-01-22,2018-10-19,Y_M_2,0.23765033181730477,0.16809967996143882,0.1709463899785869,0.17101337706714148,0.1963964191999923
32,2018-01-22,2018-10-19,Y_M_3,0.1965870656506511,0.15538922456825988,0.15672719154822767,0.15689769939121534,0.16121256164394127
33,2018-01-22,2018-10-19,Y_M_4,0.15953575126946484,0.11554842214499317,0.11370567707606817,0.11795444223275098,0.026873147919999285
34,2018-01-22,2018-10-19,Y_M_5,0.12686036160155922,0.09090966730198181,0.08608160081178495,0.09304745381836897,0.09229397949771434
35,2018-01-22,2018-10-22,Y_M_1,0.1593905935238208,0.13058280816696866,0.1018714613887044,0.12256118921845527,0.018908310759176983
36,2018-01-22,2018-10-22,Y_M_2,0.11911779975217085,0.08274975637445603,0.05683298530422353,0.07761490059340626,-1.9996986914445058
37,2018-01-22,2018-10-22,Y_M_3,0.07469797742604578,0.0352772171370247,0.017223267530788622,0.03261172286340375,-0.02629399347941397
38,2018-01-22,2018-10-22,Y_M_4,0.060470264365021564,0.011263234565898506,-0.0007751993231615016,0.009479605298900573,-0.05326526367872453
