training_start_date,testing_date,label,gbrt_oosR2,linear_oosR2,plsr_oosR2,lasso_oosR2,nn_oosR2
2018/1/22,2018/10/18,Y_M_3,0.148354855,0.130042517,0.13273386,0.133163673,0.117245138
2018/1/22,2018/10/18,Y_M_4,0.143560258,0.124515033,0.128210444,0.125522982,0.061739489
2018/1/22,2018/10/18,Y_M_5,0.125968538,0.106794378,0.112978322,0.10769927,0.075515043
2018/1/22,2018/10/19,Y_M_1,0.236996255,0.121922627,0.135598742,0.124994293,-0.015854961
2018/1/22,2018/10/19,Y_M_2,0.250473266,0.169953498,0.172984478,0.172187791,0.179487709
2018/1/22,2018/10/19,Y_M_3,0.193590732,0.157369938,0.157984598,0.158735917,0.147992848
2018/1/22,2018/10/19,Y_M_4,0.163480249,0.117678264,0.116322752,0.119970769,0.061537153
2018/1/22,2018/10/19,Y_M_5,0.121647408,0.094186185,0.091136463,0.095873552,0.06644772
2018/1/22,2018/10/22,Y_M_1,0.164933212,0.128630596,0.099703983,0.120906774,-0.013422229
2018/1/22,2018/10/22,Y_M_2,0.123521225,0.079116904,0.052925164,0.074377637,0.044399784
2018/1/22,2018/10/22,Y_M_3,0.078164306,0.031063704,0.012703425,0.028697265,0.025222608
2018/1/22,2018/10/22,Y_M_4,0.058405602,0.007518131,-0.007270824,0.005879133,-0.030721752
2018/1/22,2018/10/22,Y_M_5,-0.000123617,-0.048451982,-0.059689641,-0.047978535,-5.357495805
2018/1/22,2018/10/23,Y_M_1,0.1436596,0.093143595,0.074918179,0.094168009,1.96E-06
2018/1/22,2018/10/23,Y_M_2,0.077693862,0.036720789,0.017277795,0.034916633,0.028410979
2018/1/22,2018/10/23,Y_M_3,0.04852007,0.029651999,0.013917887,0.025768701,-0.026944286
2018/1/22,2018/10/23,Y_M_4,0.051258236,0.026382698,0.01559272,0.021937386,-0.235880258
2018/1/22,2018/10/23,Y_M_5,0.023879703,0.002889802,-0.00520792,-0.00236414,-0.069067141
2018/1/22,2018/10/24,Y_M_1,0.281133139,0.255345521,0.241173521,0.253813772,6.39E-06
2018/1/22,2018/10/24,Y_M_2,0.254033769,0.269624888,0.257697478,0.266528937,0.254617601
2018/1/22,2018/10/24,Y_M_3,0.192476489,0.183907831,0.172581669,0.180562496,0.160061039
2018/1/22,2018/10/24,Y_M_4,0.138733476,0.114773303,0.104653287,0.111191976,0.056277332
2018/1/22,2018/10/24,Y_M_5,0.107471916,0.081363338,0.073703662,0.07777095,0.022157599
2018/1/22,2018/10/25,Y_M_1,0.179693552,0.12160301,0.118572527,0.137541283,-0.000344381
2018/1/22,2018/10/25,Y_M_2,0.090788787,0.109991215,0.108875324,0.121784316,0.130021873
2018/1/22,2018/10/25,Y_M_3,0.025591248,0.13937758,0.125092077,0.147001625,0.182805619
2018/1/22,2018/10/25,Y_M_4,0.01286305,0.14958603,0.132322883,0.154397452,0.03856067
2018/1/22,2018/10/25,Y_M_5,0.011840264,0.156130718,0.139212132,0.156921552,0.032816318
2018/1/22,2018/10/26,Y_M_1,0.271106503,0.222079035,0.217072765,0.217525199,-0.001354859
2018/1/22,2018/10/26,Y_M_2,0.24371803,0.228716153,0.216161547,0.223724931,0.199695191
2018/1/22,2018/10/26,Y_M_3,0.194172134,0.181794443,0.170362082,0.179132565,0.14759263
2018/1/22,2018/10/26,Y_M_4,0.131109496,0.12054437,0.10851874,0.118167612,0.033054651
2018/1/22,2018/10/26,Y_M_5,0.109037604,0.088384434,0.077053313,0.086862455,0.012508967
2018/1/22,2018/10/29,Y_M_1,0.255940537,0.19832855,0.194878535,0.199370431,-0.000150724
2018/1/22,2018/10/29,Y_M_2,0.277150048,0.249878043,0.249466858,0.251393516,0.259051854
2018/1/22,2018/10/29,Y_M_3,0.263690971,0.24887355,0.251462164,0.249075074,0.23549765
2018/1/22,2018/10/29,Y_M_4,0.211215322,0.198934185,0.200759651,0.199498515,0.157507492
2018/1/22,2018/10/29,Y_M_5,0.155866076,0.142436663,0.14144927,0.142381156,0.154226743
2018/1/22,2018/10/30,Y_M_1,0.198604072,0.194757199,0.165051998,0.186910464,-0.00107738
2018/1/22,2018/10/30,Y_M_2,0.141468858,0.166448727,0.139991626,0.158507087,0.140029935
2018/1/22,2018/10/30,Y_M_3,0.094691212,0.133613926,0.119159291,0.12809806,0.110304913
2018/1/22,2018/10/30,Y_M_4,0.066862106,0.094557305,0.086807912,0.090488659,0.038951733
2018/1/22,2018/10/30,Y_M_5,0.021309727,0.045448228,0.042571476,0.04347803,-0.003225386
2018/1/22,2018/10/31,Y_M_1,0.144838496,0.188987677,0.166357588,0.176267063,-0.008286932
2018/1/22,2018/10/31,Y_M_2,0.090825378,0.150726777,0.127646799,0.13716739,0.084174113
2018/1/22,2018/10/31,Y_M_3,0.150312164,0.17609343,0.167041823,0.165542764,0.136705899
2018/1/22,2018/10/31,Y_M_4,0.140564516,0.169426245,0.166772658,0.160344981,0.07839288
2018/1/22,2018/10/31,Y_M_5,0.117760375,0.135970757,0.133330598,0.126850492,0.09139921
2018/1/23,2018/10/4,Y_M_1,0.185321603,0.120655299,0.118450792,0.124547193,-0.045714713
2018/1/23,2018/10/4,Y_M_2,0.116010197,0.031134439,0.021792277,0.040423463,-0.056527267
2018/1/23,2018/10/4,Y_M_3,0.041812119,-0.021936679,-0.033018112,-0.012883245,-0.398606108
2018/1/23,2018/10/4,Y_M_4,0.059442523,0.01062762,0.003970435,0.018468801,0.010792739
2018/1/23,2018/10/4,Y_M_5,0.08176666,0.030778668,0.03329197,0.037908195,-0.003836935
2018/1/23,2018/10/5,Y_M_1,0.184407767,0.109195353,0.111912434,0.117308189,0.026607624
2018/1/23,2018/10/5,Y_M_2,0.210209268,0.095748873,0.091055451,0.099832517,-0.323925829
2018/1/23,2018/10/5,Y_M_3,0.169003718,0.107288642,0.103276664,0.109288323,-0.928877511
2018/1/23,2018/10/5,Y_M_4,0.125534701,0.080185865,0.081072389,0.080871777,-0.02924708
2018/1/23,2018/10/5,Y_M_5,0.120071976,0.023826106,0.026659547,0.026124788,0.043385224
2018/1/23,2018/10/8,Y_M_1,0.325424053,0.200913227,0.200336004,0.199131953,0.116050514
2018/1/23,2018/10/8,Y_M_2,0.264330663,0.152858964,0.150240362,0.154865946,0.100818629
2018/1/23,2018/10/8,Y_M_3,0.219894237,0.114826868,0.110050168,0.116176941,-0.007309371
2018/1/23,2018/10/8,Y_M_4,0.191235297,0.099062943,0.093855967,0.10087083,-0.018912086
2018/1/23,2018/10/8,Y_M_5,0.144511245,0.072158798,0.068418687,0.07310243,0.057449415
