Factor,T-values
const,-0.06901298407492902
GROUP1_0,48.28392598650101
GROUP1_1,30.284204048096708
GROUP1_2,19.459593630992376
GROUP1_3,13.237438315660246
GROUP1_4,16.036188617708266
GROUP5_0,-23.28375489485865
GROUP5_1,-19.768446459212086
GROUP5_2,-11.377585723878457
GROUP5_3,-14.681480785310583
GROUP5_4,-23.992886753904155
GROUP6_0,29.401474543146293
GROUP6_1,22.671215499944022
GROUP6_2,14.358370988402722
GROUP6_3,15.302120294955525
GROUP6_4,22.595113375254627
GROUP7_1,-9.567373554788587
GROUP7_2,-3.3347048369177026
GROUP7_3,9.279717869116867
GROUP7_4,-0.32469067614022595
GROUP7_5,8.560403482644384
GROUP15_1,-0.4211239917005883
GROUP15_2,-0.06294836758392694
GROUP15_3,0.08080570432295778
GROUP15_4,4.502353942469752
GROUP15_5,-3.5800830857519204
GROUP11_1,-8.214596817695442
GROUP11_2,16.397843259993838
GROUP8_1,29.284768569495778
GROUP8_2,-0.9708105928139701
GROUP8_3,7.021175779540965
GROUP8_4,-2.519539039911388
GROUP8_5,5.8001727348824375
GROUP9_0,61.47160107442191
GROUP9_1,-2.395027624655567
GROUP9_2,1.2045095889673276
GROUP9_3,-16.536971704126064
GROUP9_4,-29.710842609760146
GROUP10_1,51.00903639477698
GROUP10_2,-1.493949550948606
GROUP10_3,1.6002284831549303
GROUP10_4,0.018164487900726705
GROUP10_5,-13.585039483244307
GROUP12,-0.4169028618879703
GROUP13_1,-10.313289829127092
GROUP13_2,6.606819185833181
GROUP13_3,-1.665422354742322
GROUP13_4,-7.7391019737037885
GROUP13_5,2.2926693719013858
GROUP1_0*GROUP5_0,5.70602774412055
GROUP1_0*GROUP6_0,-5.785413958710209
GROUP1_0*GROUP7_1,-4.713223289934852
GROUP1_0*GROUP11_1,-13.681771883262885
GROUP1_0*GROUP8_1,-1.3244514215574128
GROUP1_0*GROUP9_0,2.71443154470991
GROUP1_0*GROUP10_1,2.6115132487553137
GROUP1_0*GROUP12,2.043830752194119
GROUP1_0*GROUP13_1,16.472970834347045
GROUP5_0*GROUP6_0,-9.44768691200561
GROUP5_0*GROUP7_1,13.618669006234516
GROUP5_0*GROUP11_1,2.3536572815218135
GROUP5_0*GROUP8_1,0.7979460174289641
GROUP5_0*GROUP9_0,3.8373904576906184
GROUP5_0*GROUP10_1,-4.827336676336489
GROUP5_0*GROUP12,-0.25977520396725334
GROUP5_0*GROUP13_1,-27.87720054451815
GROUP6_0*GROUP7_1,-16.6390239881527
GROUP6_0*GROUP11_1,-0.9941703899073233
GROUP6_0*GROUP8_1,-0.9618295216088396
GROUP6_0*GROUP9_0,-3.42878166063029
GROUP6_0*GROUP10_1,6.158825103102126
GROUP6_0*GROUP12,0.04469927517259764
GROUP6_0*GROUP13_1,36.532122364544186
GROUP7_1*GROUP15_1,-3.603859789717746
GROUP7_1*GROUP11_1,3.8168741935187924
GROUP7_1*GROUP8_1,9.68890096185491
GROUP7_1*GROUP10_1,7.590118325061409
GROUP7_1*GROUP12,-0.585288965376228
GROUP7_1*GROUP13_1,-13.967831749481007
GROUP15_1*GROUP11_1,2.4681522696452514
GROUP15_1*GROUP8_1,6.417959948921384
GROUP15_1*GROUP10_1,8.104675341909862
GROUP15_1*GROUP12,1.247776764995962
GROUP15_1*GROUP13_1,12.45394592651015
GROUP11_1*GROUP8_1,11.001132483662227
GROUP11_1*GROUP12,4.457937633593001
GROUP11_1*GROUP13_1,-14.094982561601764
GROUP8_1*GROUP10_1,-12.617069870039883
GROUP8_1*GROUP12,2.7306244482749604
GROUP8_1*GROUP13_1,-11.787393003666057
GROUP10_1*GROUP12,0.15954981843954513
