date,r2
2018-10-03,0.22803587691467142
2018-10-04,0.10252671457555718
2018-10-05,0.16019098187497316
2018-10-08,0.14245454082999542
2018-10-09,0.13268381371394156
2018-10-11,0.14126820446612565
2018-10-12,0.09956827774320376
2018-10-15,0.1129025797494605
2018-10-16,0.15580450376727317
2018-10-17,0.08503331712855522
2018-10-18,0.09278099296896158
2018-10-19,0.0671003641891007
2018-10-22,0.19156743397911413
2018-10-23,0.11458924663813708
2018-10-24,0.1447472319229769
2018-10-25,0.047162379282027156
2018-10-26,0.15723502741238704
2018-10-29,0.19631294763968554
2018-10-30,0.12797698406920033
2018-10-31,0.13797220488665574
2018-11-01,0.12355410388643884
2018-11-02,0.17685823894215513
2018-11-05,0.15788388048185498
2018-11-06,0.13725578252367177
2018-11-07,0.1745977979616068
2018-11-08,0.11738283174823894
2018-11-09,0.09439858013659608
2018-11-12,0.08709973782572322
2018-11-13,0.15910017225222073
2018-11-14,0.11234351718298241
2018-11-15,0.10518260033272242
2018-11-16,0.1558196113669693
2018-11-19,0.2333853994422569
2018-11-20,0.19537936123683974
2018-11-21,0.08966704509684842
2018-11-22,0.16881804640149323
2018-11-23,0.10872343762909298
2018-11-26,0.13627845693641505
2018-11-27,-0.012964975414211821
2018-11-28,0.1784773562686962
2018-11-29,0.1887733448936556
2018-11-30,0.17306287895399264
2018-12-03,0.15048226959054112
2018-12-04,0.11737667280334063
2018-12-05,0.09036402549355227
2018-12-06,0.1248302040935596
2018-12-07,0.052876406579191904
2018-12-10,0.1555181042434517
2018-12-11,0.11518576578854944
2018-12-12,0.03296081752568503
2018-12-13,0.171847771534285
2018-12-14,0.1371006524219267
2018-12-17,0.055654394778070104
2018-12-18,0.07801443004637931
2018-12-19,0.10316521095106024
2018-12-20,0.17629740639223035
2018-12-21,0.1607330220747608
2018-12-22,0.10490598660183348
2018-12-24,0.12448872625203178
2018-12-25,0.12327309999319791
2018-12-26,0.13604804004509052
2018-12-27,0.1064290233416838
