Factor,T-values
const,-3.615971387380354
GROUP1_0,45.87959833831735
GROUP1_1,25.683839572178716
GROUP1_2,17.65293673382399
GROUP1_3,12.464889406855903
GROUP1_4,10.658272914112523
GROUP5_0,-9.108644252145886
GROUP5_1,-5.102825945439048
GROUP5_2,-5.4008540579040965
GROUP5_3,-6.178402094315401
GROUP5_4,-21.47730337253873
GROUP6_0,8.267385090072477
GROUP6_1,3.5484319252389813
GROUP6_2,4.130378182782015
GROUP6_3,5.475702247459501
GROUP6_4,18.457993302451378
GROUP7_1,-49.53041758969762
GROUP7_2,-10.496598015560352
GROUP7_3,-1.2147351258913917
GROUP7_4,4.292351788827623
GROUP7_5,-13.10235417235991
GROUP15_1,1.1972211621704039
GROUP15_2,0.27452430375135733
GROUP15_3,-1.5055958035857422
GROUP15_4,1.7934870586050686
GROUP15_5,-1.9459057518555165
GROUP11_1,-10.348223096365857
GROUP11_2,9.666339150273137
GROUP8_1,43.985893550471815
GROUP8_2,21.706753129507643
GROUP8_3,1.1332507928119295
GROUP8_4,3.885557341680967
GROUP8_5,13.299894538689106
GROUP9_0,50.68017025224793
GROUP9_1,-8.703129723765974
GROUP9_2,-3.2787700848317707
GROUP9_3,-3.432792913553713
GROUP9_4,-24.371351102340036
GROUP10_1,57.05359683215078
GROUP10_2,2.9352030113187473
GROUP10_3,4.226691549863375
GROUP10_4,2.1723010275797385
GROUP10_5,-19.969528004337008
GROUP12,1.0792199958438768
GROUP13_1,9.498130576820008
GROUP13_2,5.048332880483724
GROUP13_3,-5.646191236055533
GROUP13_4,4.987436915007435
GROUP13_5,-8.768663960105178
GROUP1_0*GROUP5_0,-2.4087513537146794
GROUP1_0*GROUP6_0,3.572878436595912
GROUP1_0*GROUP7_1,4.23161938458149
GROUP1_0*GROUP11_1,-16.666570153026832
GROUP1_0*GROUP8_1,0.27755268703423613
GROUP1_0*GROUP9_0,-8.260173133614062
GROUP1_0*GROUP10_1,-4.304240210590109
GROUP1_0*GROUP12,-6.772297302916367
GROUP1_0*GROUP13_1,-4.702865316275021
GROUP5_0*GROUP6_0,-0.9445375567014364
GROUP5_0*GROUP7_1,1.471443813199752
GROUP5_0*GROUP15_1,-11.953644754168227
GROUP5_0*GROUP8_1,0.20314644898919534
GROUP5_0*GROUP9_0,2.3524712829279326
GROUP5_0*GROUP10_1,-1.0136644288923489
GROUP5_0*GROUP12,-2.9976405388175515
GROUP5_0*GROUP13_1,2.6808031926280464
GROUP6_0*GROUP7_1,-1.7301753043876984
GROUP6_0*GROUP15_1,14.035721947059617
GROUP6_0*GROUP8_1,-0.6567767086369277
GROUP6_0*GROUP9_0,-2.435700633459009
GROUP6_0*GROUP10_1,0.8181563440039802
GROUP6_0*GROUP12,2.198122163138354
GROUP6_0*GROUP13_1,-2.5946633139171085
GROUP7_1*GROUP8_1,-5.725078711689889
GROUP7_1*GROUP9_0,9.16628758360791
GROUP7_1*GROUP10_1,6.406866646918853
GROUP7_1*GROUP12,-1.574789856466361
GROUP7_1*GROUP13_1,-2.7092973364401423
GROUP15_1*GROUP11_1,0.9649805782361643
GROUP15_1*GROUP9_0,3.6319812130365747
GROUP15_1*GROUP13_1,-2.3358393536297877
GROUP11_1*GROUP8_1,4.353831202505039
GROUP11_1*GROUP9_0,12.54830463847635
GROUP8_1*GROUP9_0,3.5179056293957274
GROUP8_1*GROUP10_1,0.9457470488425708
GROUP8_1*GROUP12,5.482551700609212
GROUP8_1*GROUP13_1,13.707971865651967
GROUP9_0*GROUP10_1,-3.188285529872138
GROUP9_0*GROUP12,-1.0855889521285977
GROUP10_1*GROUP12,-1.6997081697542253
