date,r2
2018-10-03,0.12278905421128727
2018-10-04,0.12261057454305668
2018-10-05,0.09506733649681143
2018-10-08,0.20738314431467542
2018-10-09,0.15818744455992895
2018-10-11,0.2092369458363723
2018-10-12,0.16975169209998442
2018-10-15,0.19687830399000883
2018-10-16,0.18584380794367716
2018-10-17,0.1658815294807967
2018-10-18,0.17549193366427873
2018-10-19,0.13573502007188099
2018-10-22,0.1327098126626748
2018-10-23,0.1028860909936149
2018-10-24,0.24906056546546418
2018-10-25,0.13033330798094722
2018-10-26,0.22548182793958038
2018-10-29,0.19823272625356791
2018-10-30,0.19037954007832125
2018-10-31,0.184278260722882
2018-11-01,0.16339424541775316
2018-11-02,0.14922741721151656
2018-11-05,0.10294198232304341
2018-11-06,0.1382510263388259
2018-11-07,0.13509535522415517
2018-11-08,0.17878723066758795
2018-11-09,0.09238994909060172
2018-11-12,0.15135053529790876
2018-11-13,0.14456581077151165
2018-11-14,0.15286683842465654
2018-11-15,0.20389977810068127
2018-11-16,0.12320203453240541
2018-11-19,0.1965892691776775
2018-11-20,0.17510768024126988
2018-11-21,0.1471597078012632
2018-11-22,0.15290809001314476
2018-11-23,0.2239993324780709
2018-11-26,0.12547100099384778
2018-11-27,0.05274710143497341
2018-11-28,0.1754668243459534
2018-11-29,0.06608921086313058
2018-11-30,0.13879372680004431
2018-12-03,0.018384258421388355
2018-12-04,0.0718739982139801
2018-12-05,0.046587980683285735
2018-12-06,0.18897459901089875
2018-12-07,0.11416526956799822
2018-12-10,-0.27216949193697504
2018-12-11,0.1193442955254852
2018-12-12,0.16134782701278572
2018-12-13,0.0579100026512831
2018-12-14,0.10928195632475002
2018-12-17,0.07693547253587463
2018-12-18,0.09881690273211718
2018-12-19,0.14824410513533837
2018-12-20,0.07527729314716669
2018-12-21,0.15499665875173263
2018-12-22,-0.05844396841244093
2018-12-24,0.050240912375604796
2018-12-25,0.15321930646417903
2018-12-26,0.18449205682525172
2018-12-27,0.2363061635466236
