Factor,T-values
const,-14.040259011025682
GROUP1_0,57.661196249422254
GROUP1_1,42.788072461901336
GROUP1_2,32.94741255025997
GROUP1_3,25.640680385071157
GROUP1_4,25.377234535502982
GROUP5_0,-22.378574418783888
GROUP5_1,-18.241272259581567
GROUP5_2,-13.83664535222003
GROUP5_3,-10.83385251861443
GROUP5_4,-13.687350604202567
GROUP6_0,24.785006071181392
GROUP6_1,17.19294935173646
GROUP6_2,12.205357268831154
GROUP6_3,8.961529458731576
GROUP6_4,8.39381872064203
GROUP7_1,-39.20414873431439
GROUP7_2,-6.674422329057172
GROUP7_3,-4.516718779943674
GROUP7_4,-1.925106628583203
GROUP7_5,-1.2145644299259017
GROUP15_1,0.34675527450834576
GROUP15_2,0.32194239494742194
GROUP15_3,1.3329679564177295
GROUP15_4,4.368245317659164
GROUP15_5,-5.644025810584335
GROUP11_1,-10.20982283161615
GROUP11_2,14.099506318502685
GROUP8_1,36.86864631538293
GROUP8_2,19.771949155727974
GROUP8_3,12.495430898730453
GROUP8_4,4.393152001257469
GROUP8_5,1.8192492941308185
GROUP9_0,64.73701272419966
GROUP9_1,-7.590799111225763
GROUP9_2,-9.144284895013724
GROUP9_3,-8.136170292783302
GROUP9_4,-27.94001864746482
GROUP10_1,71.92439589318288
GROUP10_2,-8.756033033862904
GROUP10_3,-3.2456807834414763
GROUP10_4,-2.27556677232488
GROUP10_5,-8.199082834571486
GROUP12,3.115733748694966
GROUP13_1,-3.390472632669463
GROUP13_2,-20.67061320505582
GROUP13_3,6.873615469502255
GROUP13_4,-8.635332333482149
GROUP13_5,12.185871520774256
GROUP1_0*GROUP5_0,-5.373675187460442
GROUP1_0*GROUP6_0,7.684354175939987
GROUP1_0*GROUP7_1,1.5275417135775993
GROUP1_0*GROUP11_1,-10.5711247392319
GROUP1_0*GROUP8_1,0.4700137686050625
GROUP1_0*GROUP9_0,-10.963907868948121
GROUP1_0*GROUP10_1,-2.2945184390544853
GROUP1_0*GROUP12,3.234569192569993
GROUP1_0*GROUP13_1,4.538146304045483
GROUP5_0*GROUP6_0,1.010294010709417
GROUP5_0*GROUP7_1,-2.9340102398193864
GROUP5_0*GROUP15_1,3.0907283219711976
GROUP5_0*GROUP11_1,5.713623130230148
GROUP5_0*GROUP8_1,-0.8126025435845489
GROUP5_0*GROUP10_1,-0.4211773701148914
GROUP5_0*GROUP13_1,4.427228346376656
GROUP6_0*GROUP7_1,2.344217066945568
GROUP6_0*GROUP11_1,-6.904056188889846
GROUP6_0*GROUP8_1,1.2560581574229899
GROUP6_0*GROUP10_1,0.7649705525101733
GROUP6_0*GROUP12,-1.4807757470841814
GROUP6_0*GROUP13_1,-4.650542572374834
GROUP7_1*GROUP15_1,-10.70628624571238
GROUP7_1*GROUP8_1,-7.033015568580026
GROUP7_1*GROUP10_1,0.05144616240384532
GROUP7_1*GROUP12,-4.111868724041855
GROUP7_1*GROUP13_1,2.1214403578495724
GROUP15_1*GROUP11_1,-2.8818720114119163
GROUP15_1*GROUP10_1,14.243782076905225
GROUP15_1*GROUP12,4.754087216260783
GROUP15_1*GROUP13_1,13.96384194279231
GROUP11_1*GROUP9_0,3.7730256681270804
GROUP11_1*GROUP13_1,11.501193940032765
GROUP8_1*GROUP10_1,3.365978761677696
GROUP8_1*GROUP12,-0.6461245746270181
GROUP8_1*GROUP13_1,3.6512562577711547
GROUP10_1*GROUP12,5.265020656623661
