Factor,T-values
const,3.9024429863170402
GROUP1_0,51.119508447149656
GROUP1_1,39.25880673572594
GROUP1_2,27.00444725477561
GROUP1_3,24.467048884168324
GROUP1_4,23.210478365923514
GROUP5_0,-18.322590925917375
GROUP5_1,-15.637635785801912
GROUP5_2,-14.299006249863625
GROUP5_3,-12.105584046104422
GROUP5_4,-14.896154906064258
GROUP6_0,17.030375205031373
GROUP6_1,13.154771796304498
GROUP6_2,12.821900321790288
GROUP6_3,10.87521821700608
GROUP6_4,12.124869153084818
GROUP7_1,-29.171368368406622
GROUP7_2,-4.688763485491356
GROUP7_3,-1.8441342400280816
GROUP7_4,-4.313269773223193
GROUP7_5,-11.796144044120007
GROUP15_1,1.6838604058189222
GROUP15_2,4.056901896283382
GROUP15_3,-0.9662700526315877
GROUP15_4,-2.0757046567164017
GROUP15_5,0.8601268711226883
GROUP11_1,-11.487820840526838
GROUP11_2,7.42712037709713
GROUP8_1,28.859913901896828
GROUP8_2,2.466300085155327
GROUP8_3,-0.0666262838253322
GROUP8_4,6.638818995423645
GROUP8_5,4.800262569653095
GROUP9_0,25.366017784770676
GROUP9_1,3.8152808240781537
GROUP9_2,-4.117975924872671
GROUP9_3,-4.872991160646706
GROUP9_4,-19.065263505087845
GROUP10_1,31.77607238298065
GROUP10_2,3.692377931748918
GROUP10_3,0.1594619974826922
GROUP10_4,-6.695255370879819
GROUP10_5,2.834995954920664
GROUP12,2.853075144261171
GROUP13_1,-5.871234272665556
GROUP13_2,-5.044053318612273
GROUP13_3,2.218943595573013
GROUP13_4,-6.205021298147223
GROUP13_5,10.942861969471084
GROUP1_0*GROUP5_0,-1.073158880336899
GROUP1_0*GROUP6_0,1.2626610941276233
GROUP1_0*GROUP7_1,0.48104015577878373
GROUP1_0*GROUP11_1,-7.321121512438839
GROUP1_0*GROUP8_1,-1.217739971831994
GROUP1_0*GROUP9_0,2.5527432820956006
GROUP1_0*GROUP10_1,5.159894650027408
GROUP1_0*GROUP12,-1.5351889152068956
GROUP1_0*GROUP13_1,-0.3415130016908742
GROUP5_0*GROUP6_0,-2.8431457329783423
GROUP5_0*GROUP7_1,-3.388219002475442
GROUP5_0*GROUP11_1,4.069123424557832
GROUP5_0*GROUP8_1,-4.254361347865298
GROUP5_0*GROUP9_0,-0.2912577522572021
GROUP5_0*GROUP10_1,-0.003862511486156573
GROUP5_0*GROUP12,-5.539651183857517
GROUP5_0*GROUP13_1,9.989875061304938
GROUP6_0*GROUP7_1,3.36257739789919
GROUP6_0*GROUP11_1,-5.526810197992548
GROUP6_0*GROUP8_1,5.795684833504333
GROUP6_0*GROUP9_0,0.8071535572672409
GROUP6_0*GROUP10_1,0.21325996807640046
GROUP6_0*GROUP12,5.765068197913274
GROUP6_0*GROUP13_1,-8.698978933305593
GROUP7_1*GROUP8_1,9.616997289085594
GROUP7_1*GROUP10_1,11.030796249170121
GROUP7_1*GROUP12,3.4650603091214287
GROUP7_1*GROUP13_1,-1.6973401004098339
GROUP15_1*GROUP11_1,0.6243996408723844
GROUP15_1*GROUP9_0,0.5038551025377165
GROUP15_1*GROUP12,-0.7690136504860633
GROUP15_1*GROUP13_1,1.2892370409491372
GROUP11_1*GROUP9_0,24.302415202212927
GROUP8_1*GROUP9_0,3.1870814606340456
GROUP8_1*GROUP10_1,-13.428762013158211
GROUP8_1*GROUP13_1,-13.117233869243897
GROUP9_0*GROUP13_1,-6.9445943154439735
GROUP10_1*GROUP12,3.8270610574151456
