Factor,T-values
const,0.5961610305494626
GROUP1_0,47.838766737055316
GROUP1_1,36.98559251269352
GROUP1_2,25.944994160819725
GROUP1_3,22.68465688035267
GROUP1_4,23.198384442862682
GROUP5_0,-15.057345503152145
GROUP5_1,-12.195888925701057
GROUP5_2,-11.58900757291553
GROUP5_3,-10.30090722527847
GROUP5_4,-13.658530211640418
GROUP6_0,12.558221351295465
GROUP6_1,9.221517092967224
GROUP6_2,10.12551754539485
GROUP6_3,9.151262151516239
GROUP6_4,11.266921488668743
GROUP7_1,-27.39159382425265
GROUP7_2,-4.883571471783674
GROUP7_3,-9.176145493852324
GROUP7_4,-8.984692843082462
GROUP7_5,-1.3276556777806847
GROUP15_1,-0.5985041030427265
GROUP15_2,4.0416387546660415
GROUP15_3,0.8119896725887283
GROUP15_4,0.9482476648684097
GROUP15_5,-5.277667413554746
GROUP11_1,-10.195933389041397
GROUP11_2,4.048938330158456
GROUP8_1,21.18428301537116
GROUP8_2,-1.5090842661256412
GROUP8_3,-2.594104451981936
GROUP8_4,6.914558348167968
GROUP8_5,8.155890849841896
GROUP9_0,19.152565321190067
GROUP9_1,5.761013268338081
GROUP9_2,-2.621797209631124
GROUP9_3,-3.932598738545764
GROUP9_4,-17.522888820326944
GROUP10_1,21.08657092533357
GROUP10_2,6.330617037456561
GROUP10_3,-1.2749308351380952
GROUP10_4,0.37123383563052176
GROUP10_5,-4.401032132993232
GROUP12,1.3999287336272335
GROUP13_1,-13.615080770328259
GROUP13_2,-3.509418961327803
GROUP13_3,0.5041089301921386
GROUP13_4,2.523309060883021
GROUP13_5,-0.5561103277339777
GROUP1_0*GROUP5_0,2.665787818995712
GROUP1_0*GROUP6_0,-1.5744484438006414
GROUP1_0*GROUP7_1,3.849656084355176
GROUP1_0*GROUP11_1,-5.338253357439405
GROUP1_0*GROUP8_1,-2.0477989931379956
GROUP1_0*GROUP9_0,2.963703269194675
GROUP1_0*GROUP10_1,8.945881722283684
GROUP1_0*GROUP12,-0.9843269048269205
GROUP1_0*GROUP13_1,-3.5092178721240255
GROUP5_0*GROUP6_0,0.7641847812498447
GROUP5_0*GROUP7_1,-6.135525921201535
GROUP5_0*GROUP11_1,2.1713957033598246
GROUP5_0*GROUP8_1,3.4943447338811193
GROUP5_0*GROUP9_0,2.7957773263003873
GROUP5_0*GROUP10_1,3.764602545216727
GROUP5_0*GROUP12,-1.9285056647721448
GROUP5_0*GROUP13_1,11.99535272496169
GROUP6_0*GROUP7_1,5.565786208849502
GROUP6_0*GROUP11_1,-3.77368180100047
GROUP6_0*GROUP8_1,-3.0097180519656814
GROUP6_0*GROUP9_0,-3.03986352857667
GROUP6_0*GROUP10_1,-4.090997789434866
GROUP6_0*GROUP12,2.158635424224395
GROUP6_0*GROUP13_1,-10.864565217663444
GROUP7_1*GROUP8_1,0.7202359022454081
GROUP7_1*GROUP10_1,13.55985139916721
GROUP7_1*GROUP12,2.106336272889174
GROUP7_1*GROUP13_1,4.087989674980768
GROUP15_1*GROUP11_1,0.0774234307838831
GROUP15_1*GROUP9_0,0.27374020393385573
GROUP15_1*GROUP12,-2.4874749479697815
GROUP15_1*GROUP13_1,-1.5525618891099042
GROUP11_1*GROUP9_0,28.803883461715962
GROUP8_1*GROUP9_0,2.997090547884543
GROUP8_1*GROUP10_1,1.2833302703494986
GROUP8_1*GROUP13_1,-0.6168593056352425
GROUP9_0*GROUP13_1,2.899182055499715
GROUP10_1*GROUP12,1.3493620389611383
