date,r2
2018-10-03,-3.4419437744404036e-08
2018-10-04,-0.016614356128787255
2018-10-05,-0.004465128050733291
2018-10-08,-0.0001558730343833581
2018-10-09,-0.0010650580548285937
2018-10-11,-0.026728253025811943
2018-10-12,-0.060434967363625525
2018-10-15,-0.001972238464205356
2018-10-16,-0.0019356223108779602
2018-10-17,-0.014700237748491052
2018-10-18,-0.000968688840003118
2018-10-19,-0.00982713997116913
2018-10-22,-0.010785817471222536
2018-10-23,-0.001376173699661365
2018-10-24,-0.001552708613654863
2018-10-25,-0.00033960123798304487
2018-10-26,-0.005679723284474525
2018-10-29,-0.0007332248847058409
2018-10-30,-7.065252835469771e-05
2018-10-31,-0.01176077977330503
2018-11-01,-0.007207121967161445
2018-11-02,-0.00034920865623355724
2018-11-05,-2.8695615989615675e-05
2018-11-06,-0.012886151825330927
2018-11-07,-0.0004502970030919595
2018-11-08,-0.0032839860926867637
2018-11-09,-0.0065625404313756075
2018-11-12,-0.004411943235313798
2018-11-13,-0.014803374845221429
2018-11-14,-5.339300913709266e-05
2018-11-15,-0.00028129070166493797
2018-11-16,-0.018264221120726676
2018-11-19,-0.003752052012214291
2018-11-20,-0.002336573829382127
2018-11-21,-0.0166743732829564
2018-11-22,-0.012560643301935404
2018-11-23,-0.002638317355244668
2018-11-26,-0.00019144032285334234
2018-11-27,0.009547036475041293
2018-11-28,0.011873765440702067
2018-11-29,0.004677697726851782
2018-11-30,0.033179031687142646
2018-12-03,0.010154309755908586
2018-12-04,0.008074297144258225
2018-12-05,0.019070429796442245
2018-12-06,0.03079597697376113
2018-12-07,0.017717233511421182
2018-12-10,0.02703458075128251
2018-12-11,0.028541688185689584
2018-12-12,0.010542532661957482
2018-12-13,0.005192376321886627
2018-12-14,0.03541362649695623
2018-12-17,0.0022461473409594035
2018-12-18,0.057697386840730225
2018-12-19,0.044168527638468125
2018-12-20,0.0450359821096622
2018-12-21,0.032003652045476616
2018-12-22,0.04373058269315311
2018-12-24,0.024682122884822855
2018-12-25,0.025457299111981246
2018-12-26,0.04069758981146798
2018-12-27,0.03203214618094785
